ID,pName,tradePrice,actualPrice,salePrice,brand,productLine,rating,technicalDetail,url
000001, Samsung Galaxy S23 Ultra 256GB ,25490000,31990000,25990000,Samsung,Galaxy S,5.0/5,"[{'title': 'Kích thước màn hình', 'value': '6.8 inches'}, {'title': 'Công nghệ màn hình', 'value': 'Dynamic AMOLED 2X'}, {'title': 'Độ phân giải màn hình', 'value': '1440 x 3088 pixels (QHD+)'}, {'title': 'Tính năng màn hình', 'value': '120Hz, HDR10+, 1750 nits, Gorilla Glass Victus 2'}, {'title': 'Tần số quét', 'value': '120Hz'}, {'title': 'Kiểu màn hình', 'value': 'Giọt nước'}, {'title': 'Camera sau', 'value': 'Siêu rộng: 12MP F2.2 (Dual Pixel AF)\nChính: 200MP F1.7 OIS ±3° (Super Quad Pixel AF)\nTele 1: 10MP F4.9 (10X, Dual Pixel AF) OIS,\nTele 2: 10MP F2.4 (3X, Dual Pixel AF) OIS Thu phóng chuẩn không gian 100X'}, {'title': 'Tính năng camera', 'value': 'Quay Siêu chậm (Super Slow Motion)\nChuyên nghiệp (Pro)\nHDR\nZoom quang học\nLàm đẹp\nLive Photo\nBộ lọc màu\nTrôi nhanh thời gian (Time Lapse)\nGóc siêu rộng (Ultrawide)\nGóc rộng (Wide)\nToàn cảnh (Panorama)\nChống rung quang học'}, {'title': 'Quay video', 'value': '8K@24/30fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS'}, {'title': 'Camera trước', 'value': '12MP F2.2 (Dual Pixel AF)'}, {'title': 'Quay video trước', 'value': '4K@30/60fps, 1080p@30fps'}, {'title': 'Dung lượng RAM', 'value': '8 GB'}, {'title': 'Bộ nhớ trong', 'value': '256 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'Không'}, {'title': 'Thẻ SIM', 'value': '2 Nano SIM hoặc 1 Nano + 1 eSIM'}, {'title': 'Hệ điều hành', 'value': 'Android'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'Wi-Fi', 'value': 'Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct'}, {'title': 'GPS', 'value': 'GPS, GLONASS, BDS, GALILEO'}, {'title': 'Bluetooth', 'value': '5.3, A2DP, LE'}, {'title': 'Chất liệu mặt lưng', 'value': 'Kính'}, {'title': 'Chất liệu khung viền', 'value': 'Nhôm'}, {'title': 'Kích thước', 'value': '163.4 x 78.1 x 8.9 mm'}, {'title': 'Trọng lượng', 'value': '234 g'}, {'title': 'Tương thích', 'value': 'Bút S-Pen'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IP68'}, {'title': 'Tiện ích khác', 'value': 'Samsung DeX, Samsung Wireless DeX, trợ lí ảo Bixby, Samsung Pay ,Màn hình luôn hiển thị AOD, Mở rộng bộ nhớ RAM,Thu nhỏ màn hình sử dụng một tay'}, {'title': 'Công nghệ âm thanh', 'value': 'Loa kép\nÂm thanh AKG\nÂm thanh Dolby Atmos'}, {'title': 'Công nghệ sạc', 'value': 'Sạc có dây: 45W có dây\nSạc không dây: 15W (Qi/PMA)\nChia sẻ pin không dây'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '5.000mAh'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay trong màn hình'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế'}, {'title': 'Tính năng đặc biệt', 'value': 'Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi'}]",https://cellphones.com.vn/samsung-galaxy-s23-ultra.html
000002, Xiaomi Redmi Note 12 8GB 128GB ,4790000,5790000,5290000,Xiaomi,Redmi,,"[{'title': 'Kích thước màn hình', 'value': '6.67 inches'}, {'title': 'Công nghệ màn hình', 'value': 'AMOLED'}, {'title': 'Độ phân giải màn hình', 'value': '1080 x 2400 pixels (FullHD+)'}, {'title': 'Tính năng màn hình', 'value': 'Tần số quét 120Hz, độ sáng 1200nits\nCorning® Gorilla® Glass 3'}, {'title': 'Camera sau', 'value': 'Camera chính: 50MP, f/1.8\nCamera góc rộng: 8MP, f/2.2, 120°\nCamera Macro: 2MP, f/2.4'}, {'title': 'Tính năng camera', 'value': 'Chân dung\nToàn cảnh\nChế độ chuyên nghiệp\nChế độ ban đêm\nHình mờ tùy chỉnh\nChế độ tài liệu\nHDR\nPhát hiện cảnh AI\nBùng nổ thời gian\nGoogle Ống kính\nHình mờ AI\nChế độ Video ngắn\nThời Gian Trôi Đi\nkhung phim\nVideo vĩ'}, {'title': 'Quay video', 'value': '1080p@30fps, 720p@30fps'}, {'title': 'Camera trước', 'value': '13MP, f/2.45'}, {'title': 'Quay video trước', 'value': '1080p@30fps'}, {'title': 'Dung lượng RAM', 'value': '8 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'Micro SD'}, {'title': 'Thẻ SIM', 'value': '2 SIM (Nano-SIM)'}, {'title': 'Hệ điều hành', 'value': 'Android 12'}, {'title': 'Hồng ngoại', 'value': 'Có'}, {'title': 'Jack tai nghe 3.5', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '4G'}, {'title': 'Wi-Fi', 'value': '802.11 a/b/g/n/ac'}, {'title': 'GPS', 'value': 'GPS, GLONASS, Compass, Galileo E1'}, {'title': 'Bluetooth', 'value': 'v5.0'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 33W'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '5000mAh'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IP53'}, {'title': 'Tiện ích khác', 'value': 'Mở khoá khuôn mặt, Mở khoá vân tay cạnh viền'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay cạnh bên'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế'}, {'title': 'Chipset', 'value': 'Qualcomm Snapdragon 685'}, {'title': 'Loại CPU', 'value': '2X Cortex-A78 @ 2.0GHz ; 6X Cortex-A55 @ 1.8GHz'}, {'title': 'GPU', 'value': 'Adreno 610'}]",https://cellphones.com.vn/xiaomi-redmi-note-12-8gb-128gb.html
000003, iPhone 14 Pro Max 128GB | Chính hãng VN/A ,24390000,29990000,26390000,Apple,iPhone 14 Series,5.0/5,"[{'title': 'Kích thước màn hình', 'value': '6.7 inches'}, {'title': 'Công nghệ màn hình', 'value': 'Super Retina XDR OLED'}, {'title': 'Độ phân giải màn hình', 'value': '2796 x 1290-pixel'}, {'title': 'Tính năng màn hình', 'value': '120Hz, Always-On display, HDR, True Tone, Haptic Touch, 2,000,000:1, 2000 nits'}, {'title': 'Tần số quét', 'value': '120Hz'}, {'title': 'Kiểu màn hình', 'value': 'Dynamic Island'}, {'title': 'Camera sau', 'value': 'Camera chính: 48 MP, f/1.8, 24mm, 1.22µm, PDAF, OIS\nCamera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚, 1.4µm, PDAF\nCamera tele: 12 MP, f/2.8, 77mm (telephoto), PDAF, OIS, 3x optical zoom\nCảm biến độ sâu TOF 3D LiDAR'}, {'title': 'Tính năng camera', 'value': 'Quay phim Cinematic, Chế độ ProRes, Quay phim Dolby Vision HDR'}, {'title': 'Quay video', 'value': '4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, 10-bit HDR, Dolby Vision HDR (60fps), Chế độ ProRes, Chế độ Cinematic (4K@30fps)'}, {'title': 'Camera trước', 'value': 'Camera selfie: 12 MP, f/1.9, 23mm, 1/3.6"", PDAF'}, {'title': 'Quay video trước', 'value': '4K@24/25/30/60fps, 1080p@25/30/60/120fps, Chống rung điện tử'}, {'title': 'Dung lượng RAM', 'value': '6 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'Không'}, {'title': 'Thẻ SIM', 'value': '2 SIM (nano‑SIM và eSIM)'}, {'title': 'Hệ điều hành', 'value': 'iOS 16'}, {'title': 'Hồng ngoại', 'value': 'Không'}, {'title': 'Jack tai nghe 3.5', 'value': 'Không'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'Wi-Fi', 'value': 'Wi-Fi MIMO, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot'}, {'title': 'GPS', 'value': 'BEIDOU, GALILEO, GPS, QZSS, iBeacon, GLONASS'}, {'title': 'Bluetooth', 'value': 'v5.3, A2DP, LE'}, {'title': 'Chất liệu mặt lưng', 'value': 'Kính'}, {'title': 'Chất liệu khung viền', 'value': 'Kim loại'}, {'title': 'Kích thước', 'value': '160.7 x 77.6 x 7.9 mm'}, {'title': 'Trọng lượng', 'value': '240 gr'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh PD 2.0 30W (30 phút sạc được 50%)\nSạc không dây MagSafe 15W\nSạc không dây chuẩn Qi 7.5W'}, {'title': 'Cổng sạc', 'value': 'Lightning'}, {'title': 'Pin', 'value': '4.323 mAh'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IP68'}, {'title': 'Tiện ích khác', 'value': 'Phát hiện va chạm (Crash Detection)\nMàn hình luôn hiển thị AOD\nChạm 2 lần sáng màn hình\nApple Pay'}, {'title': 'Công nghệ âm thanh', 'value': 'Loa kép'}, {'title': 'Cảm biến vân tay', 'value': 'Không'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển, Cảm biến áp kế'}, {'title': 'Tính năng đặc biệt', 'value': 'Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi'}]",https://cellphones.com.vn/iphone-14-pro-max.html
000004, iPhone 13 128GB | Chính hãng VN/A ,15290000,18990000,16290000,Apple,iPhone 15 - 25 triệu,4.8/5,"[{'title': 'Kích thước màn hình', 'value': '6.1 inches'}, {'title': 'Công nghệ màn hình', 'value': 'Super Retina XDR OLED'}, {'title': 'Độ phân giải màn hình', 'value': '2532 x 1170 pixels'}, {'title': 'Tính năng màn hình', 'value': 'Màn hình super Retina XDR, OLED, 460 ppi, HDR display, công nghệ True Tone Wide color (P3), Haptic Touch, Lớp phủ oleophobic chống bám vân tay'}, {'title': 'Tần số quét', 'value': '60Hz'}, {'title': 'Kiểu màn hình', 'value': 'Tai thỏ'}, {'title': 'Camera sau', 'value': 'Camera góc rộng: 12MP, f/1.6\nCamera góc siêu rộng: 12MP, ƒ/2.4'}, {'title': 'Tính năng camera', 'value': 'Chạm lấy nét\nHDR\nNhận diện khuôn mặt\nQuay chậm (Slow Motion)\nToàn cảnh (Panorama)\nTự động lấy nét (AF)\nXóa phông\nNhãn dán (AR Stickers)\nNhận diện khuôn mặt'}, {'title': 'Quay video', 'value': '4K 2160p@30fps\nFullHD 1080p@30fps\nFullHD 1080p@60fps\nHD 720p@30fps'}, {'title': 'Camera trước', 'value': '12MP, f/2.2'}, {'title': 'Quay video trước', 'value': '4K 2160p@30fps\nFullHD 1080p@30fps\nFullHD 1080p@60fps\nHD 720p@30fps'}, {'title': 'Dung lượng RAM', 'value': '4 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'Không'}, {'title': 'Thẻ SIM', 'value': '2 SIM (nano‑SIM và eSIM)'}, {'title': 'Hệ điều hành', 'value': 'iOS 15'}, {'title': 'Jack tai nghe 3.5', 'value': 'Không'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'Wi-Fi', 'value': 'Wi‑Fi 6 (802.11ax)'}, {'title': 'GPS', 'value': 'GPS, GLONASS, Galileo, QZSS, and BeiDou'}, {'title': 'Bluetooth', 'value': 'v5.0'}, {'title': 'Chất liệu mặt lưng', 'value': 'Kính'}, {'title': 'Chất liệu khung viền', 'value': 'Nhôm'}, {'title': 'Kích thước', 'value': '146,7 x 71,5 x 7,65mm'}, {'title': 'Trọng lượng', 'value': '174g'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 20W, Sạc không dây, Sạc ngược không dây 15W, Sạc pin nhanh, Tiết kiệm pin'}, {'title': 'Cổng sạc', 'value': 'Lightning'}, {'title': 'Pin', 'value': '3240mAh'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IP68'}, {'title': 'Cảm biến vân tay', 'value': 'Không'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế, Cảm biến trọng lực'}, {'title': 'Tính năng đặc biệt', 'value': 'Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi'}]",https://cellphones.com.vn/iphone-13.html
000005, Xiaomi Redmi Note 12 4GB 128GB ,3890000,4990000,4390000,Xiaomi,Redmi,4.9/5,"[{'title': 'Kích thước màn hình', 'value': '6.67 inches'}, {'title': 'Công nghệ màn hình', 'value': 'AMOLED'}, {'title': 'Độ phân giải màn hình', 'value': '1080 x 2400 pixels (FullHD+)'}, {'title': 'Tính năng màn hình', 'value': 'Tần số quét 120Hz, độ sáng 1200nits\nCorning® Gorilla® Glass 3'}, {'title': 'Camera sau', 'value': 'Camera chính: 50MP, f/1.8\nCamera góc rộng: 8MP, f/2.2\nCamera Macro: 2MP, f/2.4'}, {'title': 'Tính năng camera', 'value': 'Chân dung\nToàn cảnh\nChế độ chuyên nghiệp\nChế độ ban đêm\nHình mờ tùy chỉnh\nChế độ tài liệu\nHDR\nPhát hiện cảnh AI\nBùng nổ thời gian\nGoogle Ống kính\nHình mờ AI\nChế độ Video ngắn\nThời Gian Trôi Đi\nkhung phim\nVideo vĩ'}, {'title': 'Quay video', 'value': '1080p@30fps, 720p@30fps'}, {'title': 'Camera trước', 'value': '13MP, f/2.45'}, {'title': 'Quay video trước', 'value': '1080p@30fps'}, {'title': 'Dung lượng RAM', 'value': '4 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'Micro SD'}, {'title': 'Thẻ SIM', 'value': '2 SIM (Nano-SIM)'}, {'title': 'Hệ điều hành', 'value': 'Android 12'}, {'title': 'Hồng ngoại', 'value': 'Có'}, {'title': 'Jack tai nghe 3.5', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '4G'}, {'title': 'Wi-Fi', 'value': '802.11 a/b/g/n/ac'}, {'title': 'GPS', 'value': 'GPS/AGPS, Glonass'}, {'title': 'Bluetooth', 'value': 'v5.1'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 33W'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '5000mAh'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IP53'}, {'title': 'Tiện ích khác', 'value': 'Mở khoá khuôn mặt, Mở khoá vân tay cạnh viền'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay cạnh bên'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế'}, {'title': 'Chipset', 'value': 'Qualcomm Snapdragon 685'}, {'title': 'Loại CPU', 'value': '2X Cortex-A78 @ 2.0GHz ; 6X Cortex-A55 @ 1.8GHz'}, {'title': 'GPU', 'value': 'Adreno™ 619'}]",https://cellphones.com.vn/xiaomi-redmi-note-12.html
000006,samsung-galaxy-z-fold-5,,,,,,,[],https://cellphones.com.vn/samsung-galaxy-z-fold-5.html
000007,iphone-14,,,,,,,[],https://cellphones.com.vn/iphone-14.html
000008, iPhone 14 Pro 128GB | Chính hãng VN/A ,22190000,27990000,24190000,Apple,iPhone 15 - 25 triệu,5.0/5,"[{'title': '', 'value': '6.1 inches'}, {'title': 'Công nghệ màn hình', 'value': 'Super Retina XDR OLED'}, {'title': 'Độ phân giải màn hình', 'value': '2556 x 1179 pixels'}, {'title': 'Tính năng màn hình', 'value': 'Công nghệ ProMotion với tần số quét 120Hz\nTỷ lệ tương phản 2.000.000: 1\nĐộ sáng tối đa: 1.000 nits (điển hình), 1.600 nits (HDR), 2.000 nits (ngoài trời)'}, {'title': 'Tần số quét', 'value': '120Hz'}, {'title': 'Kiểu màn hình', 'value': 'Dynamic Island'}, {'title': 'Camera sau', 'value': 'Camera chính: 48 MP, f/1.8, 24mm, OIS\nCamera góc siêu rộng: 12 MP, f/2.2, 120˚, 1.4µm\nCamera tele: 12 MP, f/2.8, PDAF, OIS, 3x optical zoom\nCảm biến độ sâu TOF 3D LiDAR'}, {'title': 'Tính năng camera', 'value': 'Zoom quang học 6x\nZoom kỹ thuật số lên đến 15x\nĐèn flash True Tone\nHDR\nChân dung với bokeh\nChế độ ban đêm\nChụp chân dung đêm\nToàn cảnh (lên đến 63MP) (LiDAR Scanner)\nApple ProRAW\nSmart HDR 4'}, {'title': 'Quay video', 'value': '4K @24 fps, 25 fps, 30 fps, 60 fps\n1080p @25 fps, 30 fps, 60 fps\n720p @30 fps\n4K HDR @30 fps\n2.8K @ 60 fps\nHDR với Dolby Vision @60 fps\nProRes 4K @ 30fps\nChuyển động chậm 1080p @ 120fps, 240 fps'}, {'title': 'Camera trước', 'value': 'Camera selfie: 12 MP, f/1.9, 23mm, PDAF'}, {'title': 'Quay video trước', 'value': '4K @24 fps, 25 fps, 30 fps or 60 fps\n1080p @25 fps, 30 fps or 60 fps\n4K HDR @30 fps\nHDR với Dolby Vision 4K @60fps\nProRes 1080p @30fps\nSlow-motion 1080p @240fps'}, {'title': 'Dung lượng RAM', 'value': '6 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'Không'}, {'title': 'Thẻ SIM', 'value': '2 SIM (nano‑SIM và eSIM)'}, {'title': 'Hệ điều hành', 'value': 'iOS 16'}, {'title': 'Jack tai nghe 3.5', 'value': 'Không'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'Wi-Fi', 'value': 'Wi‑Fi 6 (802.11ax) with 2x2 MIMO'}, {'title': 'GPS', 'value': 'BEIDOU, GALILEO, GPS, QZSS, iBeacon, GLONASS'}, {'title': 'Bluetooth', 'value': 'Bluetooth 5.3'}, {'title': 'Chất liệu mặt lưng', 'value': 'Kính'}, {'title': 'Chất liệu khung viền', 'value': 'Kim loại'}, {'title': 'Kích thước', 'value': 'Dài 174.5mm - Ngang: 71.5mm - Dày 7.85mm'}, {'title': 'Trọng lượng', 'value': '206g'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 20W\nSạc không dây MagSafe 15W\nSạc không dây Qi 7,5W'}, {'title': 'Cổng sạc', 'value': 'Lightning'}, {'title': 'Pin', 'value': '3200 mAh'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IP68'}, {'title': 'Tiện ích khác', 'value': 'Phát hiện va chạm (Crash Detection)\nMàn hình luôn hiển thị AOD\nChạm 2 lần sáng màn hình\nApple Pay'}, {'title': 'Công nghệ âm thanh', 'value': 'Loa kép'}, {'title': 'Cảm biến vân tay', 'value': 'Không'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế'}, {'title': 'Tính năng đặc biệt', 'value': 'Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi'}]",https://cellphones.com.vn/iphone-14-pro.html
000009, iPhone 13 Pro Max 128GB | Chính hãng VN/A ,23990000,28990000,24990000,Apple,iPhone 15 - 25 triệu,4.6/5,"[{'title': 'Kích thước màn hình', 'value': '6.7 inches'}, {'title': 'Công nghệ màn hình', 'value': 'Super Retina XDR OLED'}, {'title': 'Độ phân giải màn hình', 'value': '2778 x 1284 pixel'}, {'title': 'Tính năng màn hình', 'value': '120Hz, Super Retina XDR với ProMotion 6.1‑inch, OLED, 458 pp, HDR display, True Tone, Wide color (P3), Haptic Touch'}, {'title': 'Tần số quét', 'value': '120Hz'}, {'title': 'Kiểu màn hình', 'value': 'Tai thỏ'}, {'title': 'Camera sau', 'value': 'Camera góc rộng: 12MP, ƒ/1.5\nCamera góc siêu rộng: 12MP, ƒ/1.8\nCamera tele : 12MP, /2.8'}, {'title': 'Tính năng camera', 'value': 'Chạm lấy nét\nHDR\nNhận diện khuôn mặt\nQuay chậm (Slow Motion)\nToàn cảnh (Panorama)\nTự động lấy nét (AF)\nXóa phông\nNhãn dán (AR Stickers)\nNhận diện khuôn mặt'}, {'title': 'Quay video', 'value': '4K@24/25/30/60fps\n1080p HD @25/30/60fps\n720p HD@30fps'}, {'title': 'Camera trước', 'value': '12MP, ƒ/2.2'}, {'title': 'Quay video trước', 'value': '4K@24/25/30/60fps\n1080p HD @25/30/60fps\n720p HD@30fps'}, {'title': 'Dung lượng RAM', 'value': '6 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'Không'}, {'title': 'Thẻ SIM', 'value': '2 SIM (nano‑SIM và eSIM)'}, {'title': 'Hệ điều hành', 'value': 'iOS15'}, {'title': 'Hồng ngoại', 'value': 'Không'}, {'title': 'Jack tai nghe 3.5', 'value': 'Không'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'Wi-Fi', 'value': 'WiFi 6E'}, {'title': 'GPS', 'value': 'GPS, GLONASS, Galileo, QZSS, and BeiDou'}, {'title': 'Bluetooth', 'value': 'v5.0'}, {'title': 'Chất liệu mặt lưng', 'value': 'Kính'}, {'title': 'Chất liệu khung viền', 'value': 'Kim loại'}, {'title': 'Kích thước', 'value': '160.8 x 78.1 x 7.65mm'}, {'title': 'Trọng lượng', 'value': '240g'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 20W, Sạc không dây, Sạc ngược không dây 15W, Sạc pin nhanh, Tiết kiệm pin'}, {'title': 'Cổng sạc', 'value': 'Lightning'}, {'title': 'Pin', 'value': '4,352mAh'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IP68'}, {'title': 'Cảm biến vân tay', 'value': 'Không'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển, Cảm biến áp kế'}, {'title': 'Tính năng đặc biệt', 'value': 'Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi'}]",https://cellphones.com.vn/iphone-13-pro-max.html
000010, iPhone 11 64GB | Chính hãng VN/A  ,10090000,11990000,10590000,Apple,iPhone 11 Series,4.9/5,"[{'title': 'Kích thước màn hình', 'value': '6.1 inches'}, {'title': 'Công nghệ màn hình', 'value': 'IPS LCD'}, {'title': 'Công nghệ màn hình', 'value': 'IPS LCD'}, {'title': 'Độ phân giải màn hình', 'value': '1792 x 828 pixel'}, {'title': 'Tính năng màn hình', 'value': 'True-tone'}, {'title': 'Tần số quét', 'value': '60Hz'}, {'title': 'Kiểu màn hình', 'value': 'Tai thỏ'}, {'title': 'Camera sau', 'value': 'Camera kép 12MP:\n- Camera góc rộng: ƒ/1.8 aperture\n- Camera siêu rộng: ƒ/2.4 aperture'}, {'title': 'Tính năng camera', 'value': 'Retina Flash\nNhãn dán (AR Stickers)\nBan đêm (Night Mode)\nChạm lấy nét\nGóc rộng (Wide)\nGóc siêu rộng (Ultrawide) HDR Nhận diện khuôn mặt\nQuay chậm (Slow Motion)\nToàn cảnh (Panorama)\nTrôi nhanh thời gian (Time L'}, {'title': 'Quay video', 'value': 'Quay video 4K ở tốc độ 24 fps, 30 fps hoặc 60 fps'}, {'title': 'Camera trước', 'value': '12 MP, ƒ/2.2 aperture'}, {'title': 'Quay video trước', 'value': '4K@24/30/60fps, 1080p@30/60/120fps, gyro-EIS'}, {'title': 'Dung lượng RAM', 'value': '4 GB'}, {'title': 'Bộ nhớ trong', 'value': '64 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'Không'}, {'title': 'Thẻ SIM', 'value': 'Nano-SIM + eSIM'}, {'title': 'Hệ điều hành', 'value': 'iOS 13 hoặc cao hơn (Tùy vào phiên bản phát hành)'}, {'title': 'Hồng ngoại', 'value': 'Không'}, {'title': 'Jack tai nghe 3.5', 'value': 'Không'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '4G'}, {'title': 'Wi-Fi', 'value': '802.11ax Wi‑Fi 6 with 2x2 MIMO'}, {'title': 'GPS', 'value': 'GPS/GNSS'}, {'title': 'Bluetooth', 'value': '5.0'}, {'title': 'Chất liệu mặt lưng', 'value': 'Kính'}, {'title': 'Chất liệu khung viền', 'value': 'Kim loại'}, {'title': 'Kích thước', 'value': '150.9mm - 75.7mm - 8.3mm'}, {'title': 'Trọng lượng', 'value': '194 g'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 18W\nPower Delivery 2.0'}, {'title': 'Cổng sạc', 'value': 'Lightning'}, {'title': 'Pin', 'value': '3110 mAh'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IP68'}, {'title': 'Cảm biến', 'value': 'FaceID, Con quay hồi chuyển, Gia tốc kế, Cảm biến tiệm cận, Cảm biến ánh sáng xung quanh'}, {'title': 'Cảm biến vân tay', 'value': 'Không'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế'}, {'title': 'Tính năng đặc biệt', 'value': 'Sạc không dây'}]",https://cellphones.com.vn/iphone-11.html
