,pName,tradePrice,actualPrice,salePrice,brand,productLine,rating,technicalDetail,url
0, Samsung Galaxy S23 Ultra 256GB ,23790000,31990000,24290000,Samsung,Galaxy S,5.0/5,"[{'title': 'Khe cắm thẻ nhớ', 'value': 'Không'}, {'title': 'Dung lượng RAM', 'value': '8 GB'}, {'title': 'Bộ nhớ trong', 'value': '256 GB'}, {'title': 'Kích thước màn hình', 'value': '6.8 inches'}, {'title': 'Độ phân giải màn hình', 'value': '1440 x 3088 pixels (QHD+)'}, {'title': 'Công nghệ màn hình', 'value': 'Dynamic AMOLED 2X'}, {'title': 'Tính năng màn hình', 'value': '120Hz, HDR10+, 1750 nits, Gorilla Glass Victus 2'}, {'title': 'Tần số quét', 'value': '120Hz'}, {'title': 'Kiểu màn hình', 'value': 'Giọt nước'}, {'title': 'Hệ điều hành', 'value': 'Android'}, {'title': 'Wi-Fi', 'value': 'Wi-Fi 802.11 a/b/g/n/ac/6e, tri-band, Wi-Fi Direct'}, {'title': 'Thẻ SIM', 'value': '2 Nano SIM hoặc 1 Nano + 1 eSIM'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'GPS', 'value': 'GPS, GLONASS, BDS, GALILEO'}, {'title': 'Bluetooth', 'value': '5.3, A2DP, LE'}, {'title': 'Camera sau', 'value': 'Siêu rộng: 12MP F2.2 (Dual Pixel AF)\nChính: 200MP F1.7 OIS ±3° (Super Quad Pixel AF)\nTele 1: 10MP F4.9 (10X, Dual Pixel AF) OIS,\nTele 2: 10MP F2.4 (3X, Dual Pixel AF) OIS Thu phóng chuẩn không gian 100X'}, {'title': 'Tính năng camera', 'value': 'Quay Siêu chậm (Super Slow Motion)\nChuyên nghiệp (Pro)\nHDR\nZoom quang học\nLàm đẹp\nLive Photo\nBộ lọc màu\nTrôi nhanh thời gian (Time Lapse)\nGóc siêu rộng (Ultrawide)\nGóc rộng (Wide)\nToàn cảnh (Panorama)\nChống rung quang học'}, {'title': 'Quay video', 'value': '8K@24/30fps, 4K@30/60fps, 1080p@30/60/240fps, 720p@960fps, HDR10+, stereo sound rec., gyro-EIS'}, {'title': 'Camera trước', 'value': '12MP F2.2 (Dual Pixel AF)'}, {'title': 'Quay video trước', 'value': '4K@30/60fps, 1080p@30fps'}, {'title': 'Chất liệu mặt lưng', 'value': 'Kính'}, {'title': 'Chất liệu khung viền', 'value': 'Nhôm'}, {'title': 'Kích thước', 'value': '163.4 x 78.1 x 8.9 mm'}, {'title': 'Trọng lượng', 'value': '234 g'}, {'title': 'Tương thích', 'value': 'Bút S-Pen'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IP68'}, {'title': 'Tiện ích khác', 'value': 'Samsung DeX, Samsung Wireless DeX, trợ lí ảo Bixby, Samsung Pay ,Màn hình luôn hiển thị AOD, Mở rộng bộ nhớ RAM,Thu nhỏ màn hình sử dụng một tay'}, {'title': 'Công nghệ âm thanh', 'value': 'Loa kép\nÂm thanh AKG\nÂm thanh Dolby Atmos'}, {'title': 'Công nghệ sạc', 'value': 'Sạc có dây: 45W có dây\nSạc không dây: 15W (Qi/PMA)\nChia sẻ pin không dây'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '5.000mAh'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay trong màn hình'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế'}, {'title': 'Tính năng đặc biệt', 'value': 'Hỗ trợ 5G, Sạc không dây, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi'}]",https://cellphones.com.vn/samsung-galaxy-s23-ultra.html
0, Xiaomi Redmi Note 12 8GB 128GB ,4890000,5790000,5390000,Xiaomi,Redmi,,"[{'title': 'Kích thước màn hình', 'value': '6.67 inches'}, {'title': 'Công nghệ màn hình', 'value': 'AMOLED'}, {'title': 'Độ phân giải màn hình', 'value': '1080 x 2400 pixels (FullHD+)'}, {'title': 'Tính năng màn hình', 'value': 'Tần số quét 120Hz, độ sáng 1200nits\nCorning® Gorilla® Glass 3'}, {'title': 'Camera sau', 'value': 'Camera chính: 50MP, f/1.8\nCamera góc rộng: 8MP, f/2.2, 120°\nCamera Macro: 2MP, f/2.4'}, {'title': 'Tính năng camera', 'value': 'Chân dung\nToàn cảnh\nChế độ chuyên nghiệp\nChế độ ban đêm\nHình mờ tùy chỉnh\nChế độ tài liệu\nHDR\nPhát hiện cảnh AI\nBùng nổ thời gian\nGoogle Ống kính\nHình mờ AI\nChế độ Video ngắn\nThời Gian Trôi Đi\nkhung phim\nVideo vĩ'}, {'title': 'Quay video', 'value': '1080p@30fps, 720p@30fps'}, {'title': 'Camera trước', 'value': '13MP, f/2.45'}, {'title': 'Quay video trước', 'value': '1080p@30fps'}, {'title': 'Dung lượng RAM', 'value': '8 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'Micro SD'}, {'title': 'Thẻ SIM', 'value': '2 SIM (Nano-SIM)'}, {'title': 'Hệ điều hành', 'value': 'Android 12'}, {'title': 'Hồng ngoại', 'value': 'Có'}, {'title': 'Jack tai nghe 3.5', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '4G'}, {'title': 'Wi-Fi', 'value': '802.11 a/b/g/n/ac'}, {'title': 'GPS', 'value': 'GPS, GLONASS, Compass, Galileo E1'}, {'title': 'Bluetooth', 'value': 'v5.0'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 33W'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '5000mAh'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IP53'}, {'title': 'Tiện ích khác', 'value': 'Mở khoá khuôn mặt, Mở khoá vân tay cạnh viền'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay cạnh bên'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế'}, {'title': 'Chipset', 'value': 'Qualcomm Snapdragon 685'}, {'title': 'Loại CPU', 'value': '2X Cortex-A78 @ 2.0GHz ; 6X Cortex-A55 @ 1.8GHz'}, {'title': 'GPU', 'value': 'Adreno 610'}]",https://cellphones.com.vn/xiaomi-redmi-note-12-8gb-128gb.html
0, iPhone 14 Pro Max 128GB | Chính hãng VN/A ,24390000,29990000,26390000,,,5.0/5,[],https://cellphones.com.vn/iphone-14-pro-max.html
0, iPhone 13 128GB | Chính hãng VN/A ,15650000,18990000,16650000,Apple,iPhone 15 - 25 triệu,4.8/5,"[{'title': '', 'value': 'Không'}, {'title': 'Dung lượng RAM', 'value': '4 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Kích thước màn hình', 'value': '6.1 inches'}, {'title': 'Độ phân giải màn hình', 'value': '2532 x 1170 pixels'}, {'title': 'Công nghệ màn hình', 'value': 'Super Retina XDR OLED'}, {'title': 'Tính năng màn hình', 'value': 'Màn hình super Retina XDR, OLED, 460 ppi, HDR display, công nghệ True Tone Wide color (P3), Haptic Touch, Lớp phủ oleophobic chống bám vân tay'}, {'title': 'Tần số quét', 'value': '60Hz'}, {'title': 'Kiểu màn hình', 'value': 'Tai thỏ'}, {'title': 'Hệ điều hành', 'value': 'iOS 15'}, {'title': 'Wi-Fi', 'value': 'Wi‑Fi 6 (802.11ax)'}, {'title': 'Thẻ SIM', 'value': '2 SIM (nano‑SIM và eSIM)'}, {'title': 'Jack tai nghe 3.5', 'value': 'Không'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'GPS', 'value': 'GPS, GLONASS, Galileo, QZSS, and BeiDou'}, {'title': 'Bluetooth', 'value': 'v5.0'}, {'title': 'Camera sau', 'value': 'Camera góc rộng: 12MP, f/1.6\nCamera góc siêu rộng: 12MP, ƒ/2.4'}, {'title': 'Tính năng camera', 'value': 'Chạm lấy nét\nHDR\nNhận diện khuôn mặt\nQuay chậm (Slow Motion)\nToàn cảnh (Panorama)\nTự động lấy nét (AF)\nXóa phông\nNhãn dán (AR Stickers)\nNhận diện khuôn mặt'}, {'title': 'Quay video', 'value': '4K 2160p@30fps\nFullHD 1080p@30fps\nFullHD 1080p@60fps\nHD 720p@30fps'}, {'title': 'Camera trước', 'value': '12MP, f/2.2'}, {'title': 'Quay video trước', 'value': '4K 2160p@30fps\nFullHD 1080p@30fps\nFullHD 1080p@60fps\nHD 720p@30fps'}, {'title': 'Chất liệu mặt lưng', 'value': 'Kính'}, {'title': 'Chất liệu khung viền', 'value': 'Nhôm'}, {'title': 'Kích thước', 'value': '146,7 x 71,5 x 7,65mm'}, {'title': 'Trọng lượng', 'value': '174g'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 20W, Sạc không dây, Sạc ngược không dây 15W, Sạc pin nhanh, Tiết kiệm pin'}, {'title': 'Cổng sạc', 'value': 'Lightning'}, {'title': 'Pin', 'value': '3240mAh'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IP68'}, {'title': 'Cảm biến vân tay', 'value': 'Không'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế, Cảm biến trọng lực'}, {'title': 'Tính năng đặc biệt', 'value': 'Hỗ trợ 5G, Sạc không dây, Nhận diện khuôn mặt, Kháng nước, kháng bụi'}]",https://cellphones.com.vn/iphone-13.html
0, Xiaomi Redmi Note 12 4GB 128GB ,3890000,4990000,4390000,,,4.9/5,[],https://cellphones.com.vn/xiaomi-redmi-note-12.html
0,samsung-galaxy-z-fold-5,,,,,,,[],https://cellphones.com.vn/samsung-galaxy-z-fold-5.html
0, iPhone 14 128GB  | Chính hãng VN/A ,16850000,22990000,18850000,,,,[],https://cellphones.com.vn/iphone-14.html
0, iPhone 14 Pro 128GB | Chính hãng VN/A ,22190000,27990000,24190000,,,5.0/5,[],https://cellphones.com.vn/iphone-14-pro.html
0, iPhone 13 Pro Max 128GB | Chính hãng VN/A ,23990000,28990000,24990000,,,4.6/5,[],https://cellphones.com.vn/iphone-13-pro-max.html
0, iPhone 11 64GB | Chính hãng VN/A  ,10150000,11990000,10650000,,,4.9/5,[],https://cellphones.com.vn/iphone-11.html
